Term;Alice’sAdventuresinWonderland.txt;ATaleofTwoCitie.txt;Frankenstein.txt;HeartofDarkness.txt;MobyDick.txt;PrideandPrejudice.txt;SherlockHolmes.txt
discharges;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
complimented;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
unbuilt;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
“Father;"0,000000";"0,000369";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
chilly;"0,000000";"0,000000";"0,000095";"0,000128";"0,000034";"0,000000";"0,000000"
dummy;"0,000000";"0,000000";"0,000000";"0,000203";"0,000000";"0,000000";"0,000409"
sailmakers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
discharged;"0,000000";"0,000131";"0,000000";"0,000000";"0,000101";"0,000332";"0,000000"
chills;"0,000000";"0,000000";"0,000000";"0,000359";"0,000000";"0,000000";"0,000000"
fiancé;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
flashing;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
flop;"0,000000";"0,001107";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
flow;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
reminds;"0,000000";"0,000000";"0,000301";"0,000000";"0,000214";"0,000000";"0,000000"
undignified;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
timid;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Air;"0,000000";"0,000000";"0,000000";"0,000000";"0,000107";"0,000000";"0,000136"
resonance;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
flog;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
angular;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
tombstones;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
preservers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
ensue;"0,000000";"0,000000";"0,000000";"0,000000";"0,000067";"0,000111";"0,000086"
coach;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
women;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
jellied;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Singularity;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
woman;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
civilities;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,002173";"0,000000"
dumps;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
unassured;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Citizen;"0,000000";"0,002768";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
interregnum;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
buckles;"0,000000";"0,000104";"0,000000";"0,000000";"0,000000";"0,000000";"0,000136"
bothering;"0,000000";"0,000000";"0,000000";"0,000359";"0,000000";"0,000000";"0,000000"
buckler;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
“Dearest;"0,000000";"0,000104";"0,000301";"0,000000";"0,000000";"0,000000";"0,000000"
unfallen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
surname;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Richard;"0,000000";"0,000000";"0,000000";"0,000000";"0,000107";"0,000175";"0,000000"
assemblance;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
redundancy;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
unforgiving;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000621";"0,000000"
Therese;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
—God;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
beholder;"0,000000";"0,000104";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
taller;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
avail;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
misspent;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
housemaid;"0,000374";"0,000000";"0,000000";"0,000000";"0,000000";"0,000351";"0,000000"
amselle;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
aforethought;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
—helm;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
gone—all;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
jugglers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Sovereign;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
observances;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000310";"0,000000"
groves—why;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
“beat;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
creeds;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
off—move;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
All;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
hindering;"0,000000";"0,000000";"0,000000";"0,000359";"0,000000";"0,000000";"0,000000"
Trinity;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Angelo;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
shrines;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Plum;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
round—thought;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Angels;"0,000000";"0,000208";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
joyously;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
Faces;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
longitude;"0,000000";"0,000000";"0,000000";"0,000000";"0,000568";"0,000000";"0,000000"
pigeon;"0,000374";"0,000000";"0,000000";"0,000203";"0,000000";"0,000000";"0,000000"
ceasing;"0,000000";"0,000000";"0,000151";"0,000000";"0,000053";"0,000000";"0,000000"
circumstances;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
timed;"0,000000";"0,000104";"0,000000";"0,000000";"0,000000";"0,000175";"0,000000"
sneaks;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
conveniently;"0,000000";"0,000000";"0,000095";"0,000000";"0,000034";"0,000000";"0,000086"
unmingled;"0,000000";"0,000000";"0,000801";"0,000000";"0,000000";"0,000000";"0,000000"
pernicious;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
mystifying;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Herbert’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
circumstanced;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
defeats;"0,000000";"0,000104";"0,000000";"0,000203";"0,000000";"0,000000";"0,000000"
boggy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
And;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
mapped;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
chinked;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
rarity;"0,000000";"0,000738";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Ann;"0,002653";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
subornation;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
cemeteries;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
chicken;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000310";"0,000000"
spliced;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
soulless;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
aldermen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Any;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
no—no;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
blindfold;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
times;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Herschel’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
footed;"0,000000";"0,000066";"0,000095";"0,000000";"0,000135";"0,000000";"0,000000"
vacillating;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
Admiral;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
muscle;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
jolted;"0,000000";"0,000313";"0,000000";"0,000000";"0,000000";"0,000000";"0,000136"
them—and;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
contiguity;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
immured;"0,000000";"0,000000";"0,000534";"0,000000";"0,000000";"0,000000";"0,000000"
“Guess;"0,000000";"0,000369";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
bachelor;"0,000000";"0,000460";"0,000000";"0,000000";"0,000034";"0,000000";"0,000516"
Endell;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
‘Sentence;"0,000663";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
fatter;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
harness;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
voyage—and;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
sketch;"0,000000";"0,000000";"0,000000";"0,000128";"0,000000";"0,000221";"0,000172"
Harry—;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
witted;"0,000000";"0,000000";"0,000000";"0,000000";"0,000053";"0,000000";"0,000273"
disfigured;"0,000000";"0,000104";"0,000000";"0,000000";"0,000000";"0,000000";"0,000136"
Sons—how;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
freshness;"0,000000";"0,000104";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
