Term;HeartofDarkness.txt;SherlockHolmes.txt;Frankenstein.txt;PrideandPrejudice.txt;ATaleofTwoCitie.txt;Alice’sAdventuresinWonderland.txt;MobyDick.txt 
narratives;"0,000000";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Rodmond;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
whoso;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Chase;"0,000000";"0,000000";"0,000137";"0,000000";"0,000095";"0,000000";"0,000097"
senior;"0,000000";"0,000248";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
bucket;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000729"
scandals;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
assigned;"0,000000";"0,000000";"0,000137";"0,000000";"0,000190";"0,000000";"0,000146"
humorously;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000243"
Hemmed;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
unexempt;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
spectre;"0,000000";"0,000000";"0,000412";"0,000000";"0,000569";"0,000000";"0,000049"
profoundly;"0,000184";"0,000124";"0,000137";"0,000000";"0,000190";"0,000000";"0,000146"
—Though;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
genteelly;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
Anomalous;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
jibbed;"0,000184";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
oatmeal;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
Proceed;"0,000000";"0,000124";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
hypocrisies;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
bloated;"0,000000";"0,000000";"0,000000";"0,000000";"0,000474";"0,000000";"0,000049"
caput;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
won’t;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,007839";"0,001459"
consignment;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Chart;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
craftily;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
reverence;"0,000184";"0,000000";"0,000549";"0,000000";"0,000095";"0,000000";"0,000195"
Courage;"0,000000";"0,000000";"0,000000";"0,000000";"0,000190";"0,000000";"0,000000"
outrun;"0,000000";"0,000000";"0,000000";"0,000160";"0,000000";"0,000000";"0,000000"
requisite;"0,000184";"0,000000";"0,000137";"0,000160";"0,000000";"0,000000";"0,000097"
9th;"0,000000";"0,000248";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
recollections;"0,000000";"0,000000";"0,000274";"0,001276";"0,000000";"0,000000";"0,000000"
effulgences;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
Banks’s;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
inflexible;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000097"
if”—and;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000049"
maladie;"0,000000";"0,000000";"0,000137";"0,000000";"0,000000";"0,000000";"0,000000"
phrases;"0,001107";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000049"
