|  | Frankenstein.txt |
| See | 2.2206925E-5 |
| infidels | 1.1103462E-5 |
| reassured | 1.1103462E-5 |
| attitude | 2.2206925E-5 |
| treatment | 5.551731E-5 |
| bodies | 3.3310385E-5 |
| virtues | 8.88277E-5 |
| waited | 8.88277E-5 |
| transparent | 1.1103462E-5 |
| bounding | 2.2206925E-5 |
| THE | 4.441385E-5 |
| journal | 4.441385E-5 |
| grasp | 9.993116E-5 |
| grass | 5.551731E-5 |
| unlike | 7.772423E-5 |
| term | 1.1103462E-5 |
| acquisition | 1.1103462E-5 |
| volcano | 1.1103462E-5 |
| business | 4.441385E-5 |
| “Presently | 1.1103462E-5 |
| forbear | 2.2206925E-5 |
| transported | 4.441385E-5 |
| staff | 1.1103462E-5 |
| possible | 1.2213808E-4 |
| partly | 8.88277E-5 |
| right | 1.44345E-4 |
| constrained | 1.1103462E-5 |
| stage | 1.1103462E-5 |
| taught | 8.88277E-5 |
| returning | 1.1103462E-4 |
| dilatoriness | 1.1103462E-5 |
| maximum | 1.1103462E-5 |
| under | 3.3310388E-4 |
| desert | 1.1103462E-4 |
| did | 0.0012768981 |
| quarter | 1.1103462E-5 |
| die | 2.6648308E-4 |
| Heavy | 1.1103462E-5 |
| leathern | 1.1103462E-5 |
| dim | 3.3310385E-5 |
| dangerously | 1.1103462E-5 |
| believing | 2.2206925E-5 |
| fears | 1.1103462E-4 |
| —has | 1.1103462E-5 |
| She | 7.5503543E-4 |
| later | 1.1103462E-5 |
| depravity | 1.1103462E-5 |
| confusedly | 1.1103462E-5 |
| lulling | 1.1103462E-5 |
| considerate | 1.1103462E-5 |
| midst | 3.3310385E-5 |
| forgotten | 4.441385E-5 |
| evils | 4.441385E-5 |
| debasing | 1.1103462E-5 |
| possibly | 3.3310385E-5 |
| inconceivable | 2.2206925E-5 |
| brows | 1.1103462E-5 |
| seasons | 3.3310385E-5 |
| renewing | 1.1103462E-5 |
| journey | 3.9972464E-4 |
| finally | 2.2206925E-5 |
| merchantman | 1.1103462E-5 |
| remained | 3.553108E-4 |
| conviction | 6.662077E-5 |
| straw | 8.88277E-5 |
| publicly | 2.2206925E-5 |
| hideous | 1.1103462E-4 |
| acceded | 1.1103462E-5 |
| acceptance | 1.1103462E-5 |
| embraced | 6.662077E-5 |
| puzzled | 1.1103462E-5 |
| final | 2.2206925E-5 |
| braided | 1.1103462E-5 |
| learnt | 1.1103462E-5 |
| paradise | 2.2206925E-5 |
| expiration | 2.2206925E-5 |
| Sir | 1.1103462E-5 |
| deserving | 3.3310385E-5 |
| forked | 1.1103462E-5 |
| colours | 2.2206925E-5 |
| occasion | 1.1103462E-4 |
